UNDERLYING                          ,SYMBOL    ,MAY-21     ,JUN-21     ,JUL-21     ,SEP-21     ,DEC-21     ,MAR-22     ,JUN-22     ,DEC-22     ,JUN-23     ,DEC-23     ,JUN-24     ,DEC-24     ,JUN-25     ,DEC-25     
NIFTY BANK                          ,BANKNIFTY ,25         ,25         ,25         ,25         ,25         ,25         ,           ,           ,           ,           ,           ,           ,           ,           
NIFTY FINANCIAL SERVICES            ,FINNIFTY  ,40         ,40         ,40         ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
NIFTY 50                            ,NIFTY     ,75         ,75         ,50         ,75         ,75         ,75         ,75         ,75         ,75         ,75         ,75         ,75         ,75         ,75         
Derivatives on Individual Securities,Symbol    ,MAY-21     ,JUN-21     ,JUL-21     ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
AUROBINDO PHARMA LTD                ,AUROPHARMA,650        ,650        ,650        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
ADANI PORT & SEZ LTD                ,ADANIPORTS,1250       ,1250       ,1250       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
AARTI INDUSTRIES LTD                ,AARTIIND  ,425        ,425        ,425        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
ALEMBIC PHARMA LTD                  ,APLLTD    ,550        ,550        ,550        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
ASIAN PAINTS LIMITED                ,ASIANPAINT,300        ,300        ,300        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
CADILA HEALTHCARE LIMITED           ,CADILAHC  ,2200       ,2200       ,2200       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
BANDHAN BANK LIMITED                ,BANDHANBNK,1800       ,1800       ,1800       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
BERGER PAINTS (I) LTD               ,BERGEPAINT,1100       ,1100       ,1100       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
BRITANNIA INDUSTRIES LTD            ,BRITANNIA ,200        ,200        ,200        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
ACC LIMITED                         ,ACC       ,500        ,500        ,500        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
CHOLAMANDALAM IN & FIN CO           ,CHOLAFIN  ,1250       ,1250       ,1250       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
ALKEM LABORATORIES LTD.             ,ALKEM     ,200        ,200        ,200        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
AMARA RAJA BATTERIES LTD.           ,AMARAJABAT,1000       ,1000       ,1000       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
AMBUJA CEMENTS LTD                  ,AMBUJACEM ,3000       ,3000       ,3000       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
CONTAINER CORP OF IND LTD           ,CONCOR    ,1563       ,1563       ,1563       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
APOLLO HOSPITALS ENTER. L           ,APOLLOHOSP,250        ,250        ,250        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
APOLLO TYRES LTD                    ,APOLLOTYRE,2500       ,2500       ,2500       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
DEEPAK NITRITE LTD                  ,DEEPAKNTR ,500        ,500        ,500        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
EICHER MOTORS LTD                   ,EICHERMOT ,350        ,350        ,350        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
AU SMALL FINANCE BANK LTD           ,AUBANK    ,500        ,500        ,500        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
AXIS BANK LIMITED                   ,AXISBANK  ,1200       ,1200       ,1200       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
GRANULES INDIA LIMITED              ,GRANULES  ,1550       ,1550       ,1550       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
GRASIM INDUSTRIES LTD               ,GRASIM    ,475        ,475        ,475        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
BAJAJ AUTO LIMITED                  ,BAJAJ-AUTO,250        ,250        ,250        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
BAJAJ FINSERV LTD.                  ,BAJAJFINSV,125        ,125        ,75         ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
HDFC LTD                            ,HDFC      ,300        ,300        ,300        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
BAJAJ FINANCE LIMITED               ,BAJFINANCE,125        ,125        ,125        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
BALKRISHNA IND. LTD                 ,BALKRISIND,400        ,400        ,400        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
HDFC AMC LIMITED                    ,HDFCAMC   ,200        ,200        ,200        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
BANK OF BARODA                      ,BANKBARODA,11700      ,11700      ,11700      ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
HINDALCO  INDUSTRIES  LTD           ,HINDALCO  ,2150       ,2150       ,2150       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
BATA INDIA LTD                      ,BATAINDIA ,550        ,550        ,550        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
BHARAT ELECTRONICS LTD              ,BEL       ,3800       ,3800       ,3800       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
BHARAT FORGE LTD                    ,BHARATFORG,1500       ,1500       ,1500       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
BHARTI AIRTEL LIMITED               ,BHARTIARTL,1851       ,1851       ,1851       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
JSW STEEL LIMITED                   ,JSWSTEEL  ,1350       ,1350       ,1350       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
BHEL                                ,BHEL      ,10500      ,10500      ,10500      ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
BIOCON LIMITED.                     ,BIOCON    ,2300       ,2300       ,2300       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
BOSCH LIMITED                       ,BOSCHLTD  ,50         ,50         ,50         ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
BHARAT PETROLEUM CORP  LT           ,BPCL      ,1800       ,1800       ,1800       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
LUPIN LIMITED                       ,LUPIN     ,850        ,850        ,850        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
M&M FIN. SERVICES LTD               ,M&MFIN    ,4000       ,4000       ,4000       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
CANARA BANK                         ,CANBK     ,5400       ,5400       ,5400       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
CIPLA LTD                           ,CIPLA     ,650        ,650        ,650        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
UNITED SPIRITS LIMITED              ,MCDOWELL-N,1250       ,1250       ,1250       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
COAL INDIA LTD                      ,COALINDIA ,4200       ,4200       ,4200       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
COFORGE LIMITED                     ,COFORGE   ,375        ,375        ,200        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
MAX FINANCIAL SERV LTD              ,MFSL      ,650        ,650        ,650        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
CITY UNION BANK LTD                 ,CUB       ,3100       ,3100       ,3100       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
CUMMINS INDIA LTD                   ,CUMMINSIND,600        ,600        ,600        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
DABUR INDIA LTD                     ,DABUR     ,1250       ,1250       ,1250       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
MINDTREE LIMITED                    ,MINDTREE  ,400        ,400        ,400        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
DIVI'S LABORATORIES LTD             ,DIVISLAB  ,200        ,200        ,200        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
DLF LIMITED                         ,DLF       ,3300       ,3300       ,3300       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
DR. REDDY'S LABORATORIES            ,DRREDDY   ,125        ,125        ,125        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
ESCORTS INDIA LTD                   ,ESCORTS   ,550        ,550        ,550        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
EXIDE INDUSTRIES LTD                ,EXIDEIND  ,3600       ,3600       ,3600       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
FEDERAL BANK LTD                    ,FEDERALBNK,10000      ,10000      ,10000      ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
GAIL (INDIA) LTD                    ,GAIL      ,6100       ,6100       ,6100       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
GMR INFRASTRUCTURE LTD.             ,GMRINFRA  ,22500      ,22500      ,22500      ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
GODREJ CONSUMER PRODUCTS            ,GODREJCP  ,1000       ,1000       ,1000       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
PAGE INDUSTRIES LTD                 ,PAGEIND   ,30         ,30         ,30         ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
GODREJ PROPERTIES LTD               ,GODREJPROP,650        ,650        ,650        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
PFIZER LTD                          ,PFIZER    ,125        ,125        ,125        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
GUJARAT GAS LIMITED                 ,GUJGASLTD ,1250       ,1250       ,1250       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
HAVELLS INDIA LIMITED               ,HAVELLS   ,500        ,500        ,500        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
PIDILITE INDUSTRIES LTD             ,PIDILITIND,500        ,500        ,500        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
HCL TECHNOLOGIES LTD                ,HCLTECH   ,700        ,700        ,700        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
HDFC BANK LTD                       ,HDFCBANK  ,550        ,550        ,550        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
HDFC LIFE INS CO LTD                ,HDFCLIFE  ,1100       ,1100       ,1100       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
PI INDUSTRIES LTD                   ,PIIND     ,250        ,250        ,250        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
POWER GRID CORP. LTD.               ,POWERGRID ,4000       ,4000       ,4000       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
HERO MOTOCORP LIMITED               ,HEROMOTOCO,300        ,300        ,300        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
PVR LIMITED                         ,PVR       ,407        ,407        ,407        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
STEEL AUTHORITY OF INDIA            ,SAIL      ,9500       ,9500       ,9500       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
HINDUSTAN PETROLEUM CORP            ,HINDPETRO ,2700       ,2700       ,2700       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
HINDUSTAN UNILEVER LTD.             ,HINDUNILVR,300        ,300        ,300        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
INDIABULLS HSG FIN LTD              ,IBULHSGFIN,3100       ,3100       ,3100       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
SHREE CEMENT LIMITED                ,SHREECEM  ,25         ,25         ,25         ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
ICICI BANK LTD.                     ,ICICIBANK ,1375       ,1375       ,1375       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
SHRIRAM TRANSPORT FIN CO.           ,SRTRANSFIN,400        ,400        ,400        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
ICICI LOMBARD GIC LIMITED           ,ICICIGI   ,425        ,425        ,425        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
ICICI PRU LIFE INS CO LTD           ,ICICIPRULI,1500       ,1500       ,1500       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
VODAFONE IDEA LIMITED               ,IDEA      ,70000      ,70000      ,70000      ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
IDFC FIRST BANK LIMITED             ,IDFCFIRSTB,9500       ,9500       ,9500       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
TATA CHEMICALS LTD                  ,TATACHEM  ,1000       ,1000       ,1000       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
INDRAPRASTHA GAS LTD                ,IGL       ,1375       ,1375       ,1375       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
TATA CONSUMER PRODUCT LTD           ,TATACONSUM,1350       ,1350       ,1350       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
INTERGLOBE AVIATION LTD             ,INDIGO    ,500        ,500        ,500        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
INDUSIND BANK LIMITED               ,INDUSINDBK,900        ,900        ,900        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
INDUS TOWERS LIMITED                ,INDUSTOWER,2800       ,2800       ,2800       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
TATA MOTORS LIMITED                 ,TATAMOTORS,2850       ,2850       ,2850       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
INFOSYS LIMITED                     ,INFY      ,600        ,600        ,600        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
INDIAN OIL CORP LTD                 ,IOC       ,6500       ,6500       ,6500       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
TATA POWER CO LTD                   ,TATAPOWER ,6750       ,6750       ,6750       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
TATA STEEL LIMITED                  ,TATASTEEL ,850        ,850        ,850        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
INDIAN RAIL TOUR CORP LTD           ,IRCTC     ,325        ,325        ,325        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
TECH MAHINDRA LIMITED               ,TECHM     ,600        ,600        ,600        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
ITC LTD                             ,ITC       ,3200       ,3200       ,3200       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
JINDAL STEEL & POWER LTD            ,JINDALSTEL,2500       ,2500       ,2500       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
JUBILANT FOODWORKS LTD              ,JUBLFOOD  ,250        ,250        ,250        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
KOTAK MAHINDRA BANK LTD             ,KOTAKBANK ,400        ,400        ,400        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
TORRENT PHARMACEUTICALS L           ,TORNTPHARM,250        ,250        ,250        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
L&T FINANCE HOLDINGS LTD            ,L&TFH     ,8924       ,8924       ,8924       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
LIC HOUSING FINANCE LTD             ,LICHSGFIN ,2000       ,2000       ,2000       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
LARSEN & TOUBRO LTD.                ,LT        ,575        ,575        ,575        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
TORRENT POWER LTD                   ,TORNTPOWER,1500       ,1500       ,1500       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
UPL LIMITED                         ,UPL       ,1300       ,1300       ,1300       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
L&T INFOTECH LIMITED                ,LTI       ,150        ,150        ,150        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
L&T TECHNOLOGY SER. LTD.            ,LTTS      ,200        ,200        ,200        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
MAHINDRA & MAHINDRA LTD             ,M&M       ,700        ,700        ,700        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
VOLTAS LTD                          ,VOLTAS    ,500        ,500        ,500        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
MANAPPURAM FINANCE LTD              ,MANAPPURAM,6000       ,6000       ,6000       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
MARICO LIMITED                      ,MARICO    ,2000       ,2000       ,2000       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
MAHANAGAR GAS LTD.                  ,MGL       ,600        ,600        ,600        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
ASHOK LEYLAND LTD                   ,ASHOKLEY  ,4500       ,4500       ,4500       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
MOTHERSON SUMI SYSTEMS LT           ,MOTHERSUMI,3500       ,3500       ,3500       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
MPHASIS LIMITED                     ,MPHASIS   ,325        ,325        ,325        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
MRF LTD                             ,MRF       ,10         ,10         ,10         ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
MUTHOOT FINANCE LIMITED             ,MUTHOOTFIN,750        ,750        ,750        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
NIPPON L I A M LTD                  ,NAM-INDIA ,1600       ,1600       ,1600       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
ADANI ENTERPRISES LIMITED           ,ADANIENT  ,1000       ,1000       ,1000       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
NATIONAL ALUMINIUM CO LTD           ,NATIONALUM,17000      ,17000      ,17000      ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
INFO EDGE (I) LTD                   ,NAUKRI    ,125        ,125        ,125        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
NAVIN FLUORINE INT. LTD             ,NAVINFLUOR,225        ,225        ,225        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
NTPC LTD                            ,NTPC      ,5700       ,5700       ,5700       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
OIL AND NATURAL GAS CORP.           ,ONGC      ,7700       ,7700       ,7700       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
PIRAMAL ENTERPRISES LTD             ,PEL       ,275        ,275        ,275        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
PETRONET LNG LIMITED                ,PETRONET  ,3000       ,3000       ,3000       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
POWER FIN CORP LTD.                 ,PFC       ,6200       ,6200       ,6200       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
PUNJAB NATIONAL BANK                ,PNB       ,16000      ,16000      ,16000      ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
THE RAMCO CEMENTS LIMITED           ,RAMCOCEM  ,850        ,850        ,850        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
RBL BANK LIMITED                    ,RBLBANK   ,2900       ,2900       ,2900       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
REC LIMITED                         ,RECLTD    ,6000       ,6000       ,6000       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
RELIANCE INDUSTRIES LTD             ,RELIANCE  ,250        ,250        ,250        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
STATE BANK OF INDIA                 ,SBIN      ,1500       ,1500       ,1500       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
SIEMENS LTD                         ,SIEMENS   ,275        ,275        ,275        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
SRF LTD                             ,SRF       ,125        ,125        ,125        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
SUN PHARMACEUTICAL IND L            ,SUNPHARMA ,1400       ,1400       ,1400       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
SUN TV NETWORK LIMITED              ,SUNTV     ,1500       ,1500       ,1500       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
TATA CONSULTANCY SERV LT            ,TCS       ,300        ,300        ,300        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
TITAN COMPANY LIMITED               ,TITAN     ,375        ,375        ,375        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
TRENT LTD                           ,TRENT     ,725        ,725        ,725        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
TVS MOTOR COMPANY  LTD              ,TVSMOTOR  ,1400       ,1400       ,1400       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
UNITED BREWERIES LTD                ,UBL       ,700        ,700        ,700        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
ULTRATECH CEMENT LIMITED            ,ULTRACEMCO,100        ,100        ,100        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
WIPRO LTD                           ,WIPRO     ,1600       ,1600       ,1600       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
ZEE ENTERTAINMENT ENT LTD           ,ZEEL      ,3000       ,3000       ,3000       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
GLENMARK PHARMACEUTICALS            ,GLENMARK  ,1150       ,1150       ,1150       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
COLGATE PALMOLIVE LTD.              ,COLPAL    ,350        ,350        ,350        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
DR. LAL PATH LABS LTD.              ,LALPATHLAB,250        ,250        ,250        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
MARUTI SUZUKI INDIA LTD.            ,MARUTI    ,100        ,100        ,100        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
NESTLE INDIA LIMITED                ,NESTLEIND ,50         ,50         ,50         ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
NMDC LTD.                           ,NMDC      ,6700       ,6700       ,6700       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
SBI LIFE INSURANCE CO LTD           ,SBILIFE   ,750        ,750        ,750        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
VEDANTA LIMITED                     ,VEDL      ,3100       ,3100       ,3100       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
